67.28	114.85
60.33	127.64
142.88	292.80
19.16	67.78
59.40	97.41
46.96	60.13
39.05	78.48
54.32	66.74
68.93	118.52
72.22	195.47
92.78	159.99
30.11	42.95
65.58	81.37
13.00	16.97
4.50	36.06
52.63	57.36
81.06	219.03
85.43	114.51
87.61	218.73
64.11	129.11
55.19	103.45
40.59	74.42
58.39	67.65
53.03	63.68
47.20	81.61
75.18	101.39
184.50	238.29
53.80	76.83
46.58	45.64
54.45	57.42
59.44	77.31
23.50	53.03
39.54	64.00
-5.25	53.39
58.98	69.11
-7.06	15.68
-23.00	0.00
-13.78	20.59
69.32	82.83
60.81	103.01
39.82	98.67
63.62	87.69
4.74	54.91
62.87	128.46
55.09	54.43
75.99	93.54
65.74	91.30
86.50	125.16
68.01	85.86
-1.04	25.06
55.42	73.20
151.43	347.45
-19.62	28.22
224.50	265.17
85.76	175.93
56.37	82.08
11.21	33.74
61.04	85.53
81.08	144.58
16.78	60.47
72.98	87.71
233.00	398.81
