1	-26.2	73
1	49.5	74
1	321.3	75
1	-28.6	76
1	46.5	77
1	57.1	78
1	20.7	79
1	9.2	80
1	31.0	81
1	290.9	82
1	24.0	83
1	12.0	84
2	17.0	82
2	204.0	83
2	-40.0	84
3	31.6	82
3	475.0	83
3	-78.0	84
4	-19.7	75
4	-23.2	76
4	56.4	77
4	98.7	78
4	28.9	79
4	55.3	80
4	-28.7	81
4	139.9	82
4	-49.0	83
4	-67.0	84
5	123.3	78
5	50.7	79
5	0.0	80
5	0.0	81
5	250.8	82
5	17.0	83
5	-26.0	84
6	0.0	74
6	86.5	75
6	31.1	76
6	1.3	77
6	152.1	78
6	59.1	79
6	74.1	80
6	136.8	81
6	-26.4	82
6	16.0	83
6	-14.0	84
7	231.7	74
7	-3.8	75
7	-40.7	76
7	12.9	77
7	118.2	78
7	22.2	79
7	29.3	80
7	15.8	81
7	-15.0	82
7	81.0	83
7	-22.0	84
8	69.7	78
8	119.5	79
8	-8.7	80
8	-18.3	81
8	82.1	82
8	145.0	83
8	-9.0	84
9	204.8	79
9	-37.0	80
9	2.9	81
9	44.9	82
9	229.0	83
9	-31.0	84
10	-1.0	75
10	0.0	76
10	0.0	77
10	-82.7	78
10	0.0	79
10	0.0	80
10	566.6	81
10	258.2	82
10	-35.0	83
10	16.0	84
11	98.8	71
11	83.5	72
11	566.3	73
11	237.8	74
11	-33.8	75
11	-9.8	76
11	27.4	77
11	42.3	78
11	50.4	79
11	42.1	80
11	-10.3	81
11	216.5	82
11	40.0	83
11	-52.0	84
12	27.1	78
12	21.0	79
12	10.0	80
12	14.9	81
12	83.8	82
12	88.0	83
12	-34.0	84
13	-1.9	80
13	-26.1	81
13	164.9	82
13	126.0	83
13	65.0	84
14	25.0	83
14	1.0	84
15	30.0	83
15	-21.0	84
16	29.5	75
16	95.6	76
16	4.7	77
16	127.0	78
16	73.0	79
16	91.3	80
16	129.2	81
16	9.1	82
16	-26.0	83
16	-7.0	84
17	722.4	74
17	-39.4	75
17	-50.6	76
17	66.7	77
17	53.0	78
17	53.4	79
17	5.3	80
17	0.9	81
17	119.7	82
17	-1.0	83
17	-39.0	84
18	22.4	79
18	37.0	80
18	22.4	81
18	268.7	82
18	185.0	83
18	-23.0	84
19	0.8	76
19	53.5	77
19	36.5	78
19	-46.0	79
19	-13.2	80
19	92.9	81
19	660.0	82
19	-21.0	83
19	25.0	84
20	0.0	73
20	0.0	74
20	0.0	75
20	118.7	76
20	119.0	77
20	0.0	78
20	9.5	79
20	-57.1	80
20	140.5	81
20	423.7	82
20	-22.0	83
20	37.0	84
21	-18.1	71
21	-20.8	72
21	288.3	73
21	246.8	74
21	2.2	75
21	-32.9	76
21	9.5	77
21	48.8	78
21	26.4	79
21	28.8	80
21	57.8	81
21	86.9	82
21	124.0	83
21	-75.0	84
22	0.7	74
22	33.4	75
22	14.2	76
22	10.8	77
22	15.8	78
22	64.4	79
22	60.6	80
22	3.5	81
22	249.1	82
22	28.0	83
22	-34.0	84
23	69.2	82
23	120.0	83
23	-14.0	84
24	33.6	73
24	131.2	74
24	39.9	75
24	1.9	76
24	26.9	77
24	75.3	78
24	25.0	79
24	193.8	80
24	117.5	81
24	0.3	82
24	-3.0	83
24	-6.0	84
25	16.8	74
